date,capital,ret,n_hold,phase
2014-11-02 16:00:00,3379095.156861179,-0.018127039693212346,8,样本内
2014-11-09 16:00:00,3252047.011024786,-0.03559827407595327,8,样本内
2014-11-16 16:00:00,3322459.7401974066,0.023651817742459946,8,样本内
2014-11-23 16:00:00,3339720.075067942,0.0071950471097386864,8,样本内
2014-11-30 16:00:00,3181360.911258866,-0.045416897299650066,8,样本内
2014-12-07 16:00:00,3216807.7778246687,0.013142045041276432,8,样本内
2014-12-14 16:00:00,2874082.3787077735,-0.1045420823337662,8,样本内
2014-12-21 16:00:00,2958628.9963020002,0.03141690823498246,8,样本内
2014-12-28 16:00:00,2971709.238083442,0.006421048329408905,9,样本内
2015-01-06 16:00:00,2955413.3254514695,-0.003483683404531923,8,样本内
2015-01-13 16:00:00,3065483.1061059074,0.039243447373853685,8,样本内
2015-01-20 16:00:00,3173684.648672107,0.03729673425721414,8,样本内
2015-01-27 16:00:00,3170535.744960193,0.0010078082542852168,8,样本内
2015-02-03 16:00:00,3172353.7812478626,0.0025734161144718637,7,样本内
2015-02-10 16:00:00,3405008.3212319086,0.07533814449047029,7,样本内
2015-02-24 16:00:00,3733595.99424915,0.09850128340901099,8,样本内
2015-03-03 16:00:00,3905702.650997491,0.04809675417839436,8,样本内
2015-03-10 16:00:00,4162842.7017931794,0.06783707818361862,8,样本内
2015-03-17 16:00:00,4615658.330530536,0.11077557985611677,8,样本内
2015-03-24 16:00:00,4531741.087003462,-0.016180991208122802,8,样本内
2015-03-31 16:00:00,4792919.610649991,0.05963315216651716,7,样本内
2015-04-08 16:00:00,5091359.052943085,0.06426673229193211,7,样本内
2015-04-15 16:00:00,5643591.184817442,0.11046458207561217,7,样本内
2015-04-22 16:00:00,5937469.478592291,0.05407292380877063,8,样本内
2015-04-29 16:00:00,5609785.821284073,-0.05318911019074531,7,样本内
2015-05-07 16:00:00,6423238.671093932,0.14700604403175954,7,样本内
2015-05-14 16:00:00,6971699.708728429,0.08738699334071116,7,样本内
2015-05-21 16:00:00,7088014.475669602,0.018683846379032847,7,样本内
2015-05-28 16:00:00,8445608.782216597,0.19353379429558024,7,样本内
2015-06-04 16:00:00,8312400.694904164,-0.01377246717760851,7,样本内
2015-06-11 16:00:00,7433672.680547045,-0.10371290372176295,6,样本内
2015-06-18 16:00:00,6004325.700957229,-0.19028005334835776,6,样本内
2015-06-28 16:00:00,4364934.580558328,-0.2710350087666871,6,样本内
2015-07-05 16:00:00,4766218.172629966,0.09393347223552424,6,样本内
2015-07-12 16:00:00,5005174.388736141,0.0521353919294717,4,样本内
2015-07-19 16:00:00,5063679.717370699,0.013688969072930001,5,样本内
2015-07-26 16:00:00,4929308.635427214,-0.02453625218090553,6,样本内
2015-08-02 16:00:00,5581510.308759552,0.13431098346022166,6,样本内
2015-08-09 16:00:00,6141890.439153154,0.10239937210438334,6,样本内
2015-08-16 16:00:00,5083610.170911516,-0.17030529895084787,6,样本内
2015-08-23 16:00:00,4686195.379893212,-0.07617570145175895,6,样本内
2015-08-30 16:00:00,4332595.148937465,-0.073455716693529,7,样本内
2015-09-08 16:00:00,3969457.244892614,-0.0818153327420651,6,样本内
2015-09-15 16:00:00,3933699.843690976,-0.007008133605078108,6,样本内
2015-09-22 16:00:00,3901142.476660926,-0.006276525490948967,8,样本内
2015-09-29 16:00:00,4495698.854558456,0.15440570716259108,8,样本内
2015-10-13 16:00:00,4598656.980227301,0.024901472941064675,7,样本内
2015-10-20 16:00:00,5012576.048250156,0.09200868510144804,8,样本内
2015-10-27 16:00:00,4982881.671254345,-0.003923975359172216,9,样本内
2015-11-03 16:00:00,5375515.606778202,0.08079656018903998,9,样本内
2015-11-10 16:00:00,5457011.068031588,0.017160491981573864,9,样本内
2015-11-17 16:00:00,5961703.7469472345,0.0944851851359166,9,样本内
2015-11-24 16:00:00,5538196.364809023,-0.06903797842270744,9,样本内
2015-12-01 16:00:00,5826972.7497254815,0.05414267712705339,9,样本内
2015-12-08 16:00:00,5899391.891921003,0.01442826169024616,9,样本内
2015-12-15 16:00:00,6148706.836495799,0.04426112608593165,8,样本内
2015-12-22 16:00:00,6102103.541233646,-0.005579365304186845,8,样本内
2015-12-29 16:00:00,5683955.436886053,-0.06652523912812162,9,样本内
2016-01-06 16:00:00,4995039.418015167,-0.11920362774137215,11,样本内
2016-01-13 16:00:00,4846331.644912155,-0.02777109100814717,11,样本内
2016-01-20 16:00:00,4237484.852474916,-0.12363044319850199,11,样本内
2016-01-27 16:00:00,4676174.094147102,0.1055258548277684,11,样本内
2016-02-03 16:00:00,4880840.534893779,0.045767925792764425,12,样本内
2016-02-17 16:00:00,4689773.795123396,-0.03714627786022121,12,样本内
2016-02-24 16:00:00,4628625.620076388,-0.011038619284919893,11,样本内
2016-03-02 16:00:00,4763954.938317157,0.031237473355759368,11,样本内
2016-03-09 16:00:00,5129952.765981115,0.0788264671691551,9,样本内
2016-03-16 16:00:00,5428370.795189268,0.06017169140173936,9,样本内
2016-03-23 16:00:00,5507631.757037815,0.01660124314256301,9,样本内
2016-03-30 16:00:00,5578021.806061382,0.014780456669715034,9,样本内
2016-04-07 16:00:00,5744997.833352072,0.03193463150489029,9,样本内
2016-04-14 16:00:00,5499137.042283691,-0.04079562816213066,7,样本内
